,NRHR_areas,RHR_areas,NRLR_areas,RLR_areas,NRHR_GHG,RHR_GHG,NRLR_GHG,RLR_GHG
240,2381738.0,593347.0,166242.0,75247.0,7.114134891,1.42242623,0.480705384,0.176279785
241,3453488.0,550862.0,291011.0,115828.0,10.315662036,1.321263937,0.841202683,0.271455174
242,2705258.0,611721.0,374892.0,36576.0,8.089753134,1.465842288,1.082972814,0.085889089
243,2506612.0,613911.0,225952.0,55893.0,7.496745012,1.471868982,0.652894697,0.130931645
244,1120699.0,577096.0,228381.0,68811.0,3.353234796,1.383144212,0.659876619,0.161285389
245,404681.0,279381.0,312045.0,413756.0,1.211032038,0.671308377,0.903557196,0.975111503
246,316104.0,450735.0,194823.0,255699.0,0.949678104,1.081897308,0.564689415,0.603108755
247,935140.0,337439.0,269728.0,360502.0,2.800458249,0.810161863,0.782032415,0.849010878
248,539325.0,478587.0,170103.0,228916.0,1.612614291,1.149700965,0.493092369,0.539412083
249,226513.0,398504.0,82654.0,292368.0,0.678340845,0.957088711,0.239467037,0.68830243
250,437000.0,400314.0,90091.0,304899.0,1.308665994,0.961228107,0.261167222,0.717657883
251,299445.0,434992.0,128024.0,281418.0,0.898853853,1.04411735,0.371275201,0.663023445
252,835191.0,524376.0,183100.0,154788.0,2.496456312,1.257703239,0.530305535,0.36475583
253,798014.0,458903.0,178531.0,259382.0,2.391052314,1.100870845,0.516839486,0.61056155
254,402027.0,448885.0,184497.0,238415.0,1.206434916,1.077106184,0.53451705,0.561609279
255,118530.0,496691.0,68368.0,198075.0,0.35662665,1.192046326,0.198058517,0.466274757
256,267912.0,486363.0,99663.0,200533.0,0.801726063,1.166234466,0.288954642,0.472105811
257,170775.0,511266.0,92079.0,204508.0,0.512281176,1.227090996,0.266377713,0.481498658
258,303845.0,480037.0,75982.0,214539.0,0.91119999,1.152431726,0.220046069,0.505012066
259,1472438.0,501638.0,208354.0,194929.0,4.407519189,1.203273922,0.603508352,0.458116679
260,1136615.0,499906.0,192624.0,180034.0,3.402906912,1.200710522,0.5581905,0.424755497
261,476452.0,564973.0,132023.0,131623.0,1.428178254,1.3563998,0.382663573,0.309460805
262,595011.0,504830.0,126686.0,202466.0,1.779838437,1.210992205,0.367115779,0.47707955
263,470655.0,527771.0,101512.0,174142.0,1.410079812,1.266203626,0.293713484,0.40995767
264,220600.0,552511.0,71112.0,123783.0,0.662396556,1.326678728,0.205879536,0.29164136
265,1062535.0,505029.0,123492.0,203927.0,3.184040997,1.211672283,0.357585717,0.479371956
266,1823562.0,431166.0,351910.0,226107.0,5.457787743,1.035537933,1.018783922,0.531288114
267,1451964.0,573037.0,205720.0,113061.0,4.349051652,1.374660011,0.59527097,0.265509575
268,2249045.0,470061.0,248902.0,203364.0,6.723591075,1.128994806,0.720221786,0.477279183
269,1057488.0,625313.0,194568.0,81759.0,3.166453329,1.500147508,0.562841169,0.191903555
270,1431535.0,572888.0,398990.0,108017.0,4.287939957,1.373806882,1.154380993,0.254118894
271,1058589.0,544122.0,113112.0,144294.0,3.172875426,1.305906198,0.327369528,0.338855835
272,366644.0,629565.0,45066.0,68837.0,1.099994907,1.509798873,0.130630392,0.161564553
273,2142670.0,570150.0,414633.0,101182.0,6.412008348,1.368225408,1.199582025,0.237511012
274,1084771.0,569595.0,58908.0,127066.0,3.250295772,1.366289415,0.170660901,0.297953892
275,1454534.0,536849.0,271269.0,125289.0,4.348495731,1.288919917,0.784322604,0.293984533
276,1619161.0,573287.0,136439.0,65677.0,4.843795212,1.375239457,0.395046619,0.154192067
277,1010759.0,624667.0,48050.0,73986.0,3.021181455,1.498651871,0.139007797,0.173372733
278,780325.0,619362.0,64508.0,51920.0,2.330015058,1.485774495,0.1867825,0.121841912
279,1375881.0,555654.0,43893.0,100009.0,4.113809463,1.332589485,0.127248474,0.234562762
280,4055361.0,608263.0,188173.0,56738.0,12.11424516,1.459057271,0.544173275,0.133245425
281,2316192.0,606748.0,168261.0,76400.0,6.918325728,1.454271749,0.486902217,0.179040663
282,1889409.0,575298.0,171086.0,84020.0,5.654402571,1.379821569,0.494389216,0.196871166
283,480154.0,593360.0,81984.0,85136.0,1.439753652,1.422966694,0.237174396,0.199509169
284,2077541.0,549919.0,234778.0,110188.0,6.211701075,1.319274029,0.679067105,0.258566108
285,2540191.0,524935.0,84668.0,86010.0,7.592873667,1.259090102,0.244731859,0.20191952
286,1551500.0,579981.0,109678.0,66603.0,4.642209588,1.390793082,0.317185724,0.156093237
287,3891215.0,588009.0,187440.0,49116.0,11.638702119,1.41017493,0.541607343,0.115224524
288,3397661.0,604536.0,227323.0,54546.0,10.165882305,1.449938631,0.65697002,0.127742542
289,2757098.0,542228.0,254021.0,76694.0,8.254776297,1.300567729,0.733817671,0.179671008
290,2964323.0,634290.0,195057.0,35638.0,8.868011226,1.520214321,0.563374239,0.08359952
291,1969368.0,562887.0,153045.0,89805.0,5.893256148,1.349615181,0.442453566,0.210282915
292,1267665.0,562428.0,78855.0,86203.0,3.785924898,1.348960905,0.227908209,0.202184097
293,666077.0,625207.0,86002.0,51808.0,1.995069519,1.499196857,0.248808668,0.121349022
